wordlen,sent_id,speaker,old_split,in_sst,in_spog,old_name,letters,doc,split
65,Gos007.s176,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
11,Gos007.s177,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
17,Gos007.s178,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
16,Gos008.s63,Pm-pred-09040,train,true,false,JIfasvaknr,JI,Gos008,train
49,Gos008.s64,Pm-pred-09040,train,true,false,JIfasvaknr,JI,Gos008,train
27,Gos008.s65,Pm-pred-09040,train,true,false,JIfasvaknr,JI,Gos008,train
30,Gos012.s229,Af-prof-02215,train,true,false,JIosjzdrna,JI,Gos012,train
4,Gos012.s230,Cf-ucen-02217,train,true,false,JIosjzdrna,JI,Gos012,train
29,Gos012.s231,Af-prof-02215,train,true,false,JIosjzdrna,JI,Gos012,train
9,Gos012.s232,Gm-ucen-02221,train,true,false,JIosjzdrna,JI,Gos012,train
18,Gos012.s233,Af-prof-02215,train,true,false,JIosjzdrna,JI,Gos012,train
17,Gos012.s234,Af-prof-02215,train,true,false,JIosjzdrna,JI,Gos012,train
8,Gos013.s146,Ff-ucen-05658,train,true,false,JIosjzdrna,JI,Gos013,train
3,Gos013.s147,Cm-ucen-05655,train,true,false,JIosjzdrna,JI,Gos013,train
4,Gos013.s148,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
4,Gos013.s149,Ff-ucen-05658,train,true,false,JIosjzdrna,JI,Gos013,train
8,Gos013.s151,Dm-ucen-05656,train,true,false,JIosjzdrna,JI,Gos013,train
12,Gos013.s152,Gf-ucen-05659,train,true,false,JIosjzdrna,JI,Gos013,train
23,Gos013.s153,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
10,Gos013.s155,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
4,Gos013.s156,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos013.s158,Ff-ucen-05658,train,true,false,JIosjzdrna,JI,Gos013,train
8,Gos013.s159,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
27,Gos013.s160,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
9,Gos013.s161,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
6,Gos013.s162,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
3,Gos013.s163,Hf-ucen-05660,train,true,false,JIosjzdrna,JI,Gos013,train
9,Gos013.s165,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos013.s167,Pn-vsiucenci-10000,train,true,false,JIosjzdrna,JI,Gos013,train
15,Gos013.s168,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
8,Gos013.s169,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos013.s170,Gf-ucen-05659,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos013.s171,Pn-vsiucenci-10000,train,true,false,JIosjzdrna,JI,Gos013,train
6,Gos013.s172,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos013.s173,Pn-vsiucenci-10000,train,true,false,JIosjzdrna,JI,Gos013,train
21,Gos013.s174,Am-prof-05653,train,true,false,JIosjzdrna,JI,Gos013,train
2,Gos014.s618,Bm-ucen-07181,train,true,false,JIosjzdrna,JI,Gos014,train
27,Gos014.s619,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
13,Gos014.s620,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s621,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s622,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
8,Gos014.s623,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
12,Gos014.s624,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
11,Gos014.s625,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s626,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s628,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s629,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s630,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s632,Cf-ucen-07182,train,true,false,JIosjzdrna,JI,Gos014,train
7,Gos014.s633,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
6,Gos014.s634,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s635,Hm-ucen-07187,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s636,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s637,Hm-ucen-07187,train,true,false,JIosjzdrna,JI,Gos014,train
3,Gos014.s638,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
6,Gos014.s639,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
6,Gos014.s640,Dm-ucen-07183,train,true,false,JIosjzdrna,JI,Gos014,train
5,Gos014.s641,Hm-ucen-07187,train,true,false,JIosjzdrna,JI,Gos014,train
29,Gos014.s642,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
2,Gos014.s644,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
4,Gos014.s645,Af-prof-07180,train,true,false,JIosjzdrna,JI,Gos014,train
8,Gos014.s646,Hm-ucen-07187,train,true,false,JIosjzdrna,JI,Gos014,train
21,Gos014.s647,Hm-ucen-07187,train,true,false,JIosjzdrna,JI,Gos014,train
12,Gos015.s63,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
2,Gos015.s64,Om-ucen-02259,train,true,false,JIosjztrdr,JI,Gos015,train
9,Gos015.s65,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
16,Gos015.s66,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
11,Gos015.s67,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
4,Gos015.s68,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
5,Gos015.s69,Ff-ucen-02250,train,true,false,JIosjztrdr,JI,Gos015,train
31,Gos015.s71,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
2,Gos015.s72,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
4,Gos015.s73,Ff-ucen-02250,train,true,false,JIosjztrdr,JI,Gos015,train
4,Gos015.s74,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
7,Gos015.s75,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
11,Gos015.s76,Sm-ucen-02261,train,true,false,JIosjztrdr,JI,Gos015,train
3,Gos015.s77,Af-prof-02245,train,true,false,JIosjztrdr,JI,Gos015,train
11,Gos015.s78,Sm-ucen-02261,train,true,false,JIosjztrdr,JI,Gos015,train
19,Gos017.s275,If-ucen-07112,train,true,false,JIossltrdr,JI,Gos017,train
34,Gos017.s276,If-ucen-07112,train,true,false,JIossltrdr,JI,Gos017,train
16,Gos017.s277,If-ucen-07112,train,true,false,JIossltrdr,JI,Gos017,train
7,Gos017.s278,If-ucen-07112,train,true,false,JIossltrdr,JI,Gos017,train
2,Gos017.s279,Om-ucen-07118,train,true,false,JIossltrdr,JI,Gos017,train
38,Gos017.s280,Rm-ucen-07121,train,true,false,JIossltrdr,JI,Gos017,train
4,Gos017.s281,Af-prof-07104,train,true,false,JIossltrdr,JI,Gos017,train
10,Gos017.s282,Rm-ucen-07121,train,true,false,JIossltrdr,JI,Gos017,train
5,Gos017.s283,Af-prof-07104,train,true,false,JIossltrdr,JI,Gos017,train
13,Gos017.s284,Rm-ucen-07121,train,true,false,JIossltrdr,JI,Gos017,train
4,Gos017.s285,Af-prof-07104,train,true,false,JIossltrdr,JI,Gos017,train
19,Gos017.s286,Af-prof-07104,train,true,false,JIossltrdr,JI,Gos017,train
27,Gos017.s287,Tm-ucen-07123,train,true,false,JIossltrdr,JI,Gos017,train
26,Gos020.s392,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
6,Gos020.s394,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
2,Gos020.s395,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
13,Gos020.s396,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
4,Gos020.s398,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
9,Gos020.s399,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
6,Gos020.s400,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
2,Gos020.s401,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
10,Gos020.s402,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
4,Gos020.s403,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
5,Gos020.s404,Tf-ucen-01069,train,true,false,JIossvtrdr,JI,Gos020,train
25,Gos020.s405,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
2,Gos020.s406,Pn-vsiucenci-10000,train,true,false,JIossvtrdr,JI,Gos020,train
19,Gos020.s407,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
2,Gos020.s408,Jm-ucen-01064,train,true,false,JIossvtrdr,JI,Gos020,train
14,Gos020.s409,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
2,Gos020.s410,Pn-vsiucenci-10000,train,true,false,JIossvtrdr,JI,Gos020,train
46,Gos020.s411,Mf-prof-01061,train,true,false,JIossvtrdr,JI,Gos020,train
4,Gos022.s119,Fm-ucen-01627,train,true,false,JIossvtrna,JI,Gos022,train
6,Gos022.s120,Pf-ucen-01626,train,true,false,JIossvtrna,JI,Gos022,train
13,Gos022.s121,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
11,Gos022.s123,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
9,Gos022.s125,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
10,Gos022.s127,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
23,Gos022.s128,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
21,Gos022.s129,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
2,Gos022.s131,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
16,Gos022.s133,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
11,Gos022.s134,Um-prof-01624,train,true,false,JIossvtrna,JI,Gos022,train
20,Gos023.s70,Lm-posl-05528,train,true,false,JIrajzakjp,JI,Gos023,train
12,Gos023.s71,Am-mode-05517,train,true,false,JIrajzakjp,JI,Gos023,train
22,Gos023.s72,Lm-posl-05528,train,true,false,JIrajzakjp,JI,Gos023,train
16,Gos024.s25,Em-mode-05517,train,true,false,JIrajzakjp,JI,Gos024,train
10,Gos024.s26,Em-mode-05517,train,true,false,JIrajzakjp,JI,Gos024,train
36,Gos024.s27,Em-mode-05517,train,true,false,JIrajzakjp,JI,Gos024,train
5,Gos024.s28,Af-novi-05533,train,true,false,JIrajzakjp,JI,Gos024,train
36,Gos025.s97,Mf-posl-05556,train,true,false,JIrajzakjp,JI,Gos025,train
4,Gos025.s98,Fm-mode-05517,train,true,false,JIrajzakjp,JI,Gos025,train
8,Gos025.s99,Mf-posl-05556,train,true,false,JIrajzakjp,JI,Gos025,train
2,Gos025.s100,Fm-mode-05517,train,true,false,JIrajzakjp,JI,Gos025,train
12,Gos025.s101,Fm-mode-05517,train,true,false,JIrajzakjp,JI,Gos025,train
2,Gos028.s37,Jm-anke-05585,train,true,false,JIrajzakjp,JI,Gos028,train
12,Gos028.s38,Jm-anke-05585,train,true,false,JIrajzakjp,JI,Gos028,train
32,Gos028.s39,Kf-anke-05586,train,true,false,JIrajzakjp,JI,Gos028,train
3,Gos028.s40,Lm-anke-05587,train,true,false,JIrajzakjp,JI,Gos028,train
19,Gos028.s41,Lm-anke-05587,train,true,false,JIrajzakjp,JI,Gos028,train
7,Gos029.s112,Rm-novi-05592,train,true,false,JIrajzakjp,JI,Gos029,train
5,Gos029.s113,Rm-novi-05592,train,true,false,JIrajzakjp,JI,Gos029,train
4,Gos029.s114,Mm-posl-06513,train,true,false,JIrajzakjp,JI,Gos029,train
5,Gos029.s115,Rm-novi-05592,train,true,false,JIrajzakjp,JI,Gos029,train
3,Gos029.s116,Um-posl-06514,train,true,false,JIrajzakjp,JI,Gos029,train
6,Gos029.s117,Rm-novi-05592,train,true,false,JIrajzakjp,JI,Gos029,train
12,Gos029.s118,Um-posl-06514,train,true,false,JIrajzakjp,JI,Gos029,train
36,Gos029.s119,Um-posl-06514,train,true,false,JIrajzakjp,JI,Gos029,train
2,Gos030.s23,Am-mode-05592,train,true,false,JIrajzakns,JI,Gos030,train
13,Gos030.s24,Cf-mode-05533,train,true,false,JIrajzakns,JI,Gos030,train
55,Gos030.s25,Cf-mode-05533,train,true,false,JIrajzakns,JI,Gos030,train
8,Gos030.s26,Cf-mode-05533,train,true,false,JIrajzakns,JI,Gos030,train
4,Gos030.s27,Am-mode-05592,train,true,false,JIrajzakns,JI,Gos030,train
6,Gos030.s28,Bm-nast-05525,train,true,false,JIrajzakns,JI,Gos030,train
9,Gos032.s70,Bf-gost-05600,train,true,false,JIrajzakns,JI,Gos032,train
17,Gos032.s71,Bf-gost-05600,train,true,false,JIrajzakns,JI,Gos032,train
57,Gos032.s72,Bf-gost-05600,train,true,false,JIrajzakns,JI,Gos032,train
30,Gos032.s73,Bf-gost-05600,train,true,false,JIrajzakns,JI,Gos032,train
2,Gos034.s10,Af-mode-05513,train,true,false,JIrajzkkna,JI,Gos034,dev
13,Gos034.s11,Bm-gost-05514,train,true,false,JIrajzkkna,JI,Gos034,dev
33,Gos034.s12,Bm-gost-05514,train,true,false,JIrajzkkna,JI,Gos034,dev
5,Gos036.s7,Bm-gost-00521,train,true,false,JIrajzkrsp,JI,Gos036,train
35,Gos036.s8,Am-novi-00522,train,true,false,JIrajzkrsp,JI,Gos036,train
8,Gos036.s9,Am-novi-00522,train,true,false,JIrajzkrsp,JI,Gos036,train
6,Gos036.s10,Am-novi-00522,train,true,false,JIrajzkrsp,JI,Gos036,train
24,Gos036.s11,Bm-gost-00521,train,true,false,JIrajzkrsp,JI,Gos036,train
28,Gos039.s174,Af-novi-02046,train,true,false,JIraslogng,JI,Gos039,train
17,Gos039.s175,Af-novi-02046,train,true,false,JIraslogng,JI,Gos039,train
15,Gos039.s176,Af-novi-02046,train,true,false,JIraslogng,JI,Gos039,train
11,Gos039.s177,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
15,Gos039.s178,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
7,Gos039.s179,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
2,Gos039.s180,Af-novi-02046,train,true,false,JIraslogng,JI,Gos039,train
34,Gos039.s181,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
35,Gos039.s182,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
8,Gos039.s183,Af-novi-02046,train,true,false,JIraslogng,JI,Gos039,train
12,Gos039.s184,Bm-gost-02047,train,true,false,JIraslogng,JI,Gos039,train
10,Gos041.s149,Bf-novi-07195,train,true,false,JIraslslin,JI,Gos041,train
17,Gos041.s151,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
36,Gos041.s152,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
18,Gos041.s153,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
36,Gos041.s154,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
6,Gos041.s155,Bf-novi-07195,train,true,false,JIraslslin,JI,Gos041,train
4,Gos041.s156,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
16,Gos041.s157,Cm-gost-07196,train,true,false,JIraslslin,JI,Gos041,train
10,Gos042.s90,Cf-gost-02095,train,true,false,JIraslvaak,JI,Gos042,dev
59,Gos042.s91,Cf-gost-02095,train,true,false,JIraslvaak,JI,Gos042,dev
20,Gos042.s92,Cf-gost-02095,train,true,false,JIraslvaak,JI,Gos042,dev
2,Gos042.s93,Am-novi-02093,train,true,false,JIraslvaak,JI,Gos042,dev
36,Gos042.s94,Am-novi-02093,train,true,false,JIraslvaak,JI,Gos042,dev
34,Gos043.s77,Bm-gost-02088,train,true,false,JIraslvavm,JI,Gos043,train
2,Gos043.s78,Af-novi-02087,train,true,false,JIraslvavm,JI,Gos043,train
26,Gos043.s79,Bm-gost-02088,train,true,false,JIraslvavm,JI,Gos043,train
2,Gos043.s80,Af-novi-02087,train,true,false,JIraslvavm,JI,Gos043,train
47,Gos043.s81,Af-novi-02087,train,true,false,JIraslvavm,JI,Gos043,train
6,Gos043.s82,Af-novi-02087,train,true,false,JIraslvavm,JI,Gos043,train
16,Gos043.s83,Af-novi-02087,train,true,false,JIraslvavm,JI,Gos043,train
32,Gos043.s84,Bm-gost-02088,train,true,false,JIraslvavm,JI,Gos043,train
59,Gos044.s6,Bf-gost-07002,train,true,false,JIrasvkoso,JI,Gos044,train
4,Gos046.s7,Bm-gost-07012,train,true,false,JIrasvstin,JI,Gos046,train
2,Gos046.s8,Af-mode-07011,train,true,false,JIrasvstin,JI,Gos046,train
22,Gos046.s9,Af-mode-07011,train,true,false,JIrasvstin,JI,Gos046,train
16,Gos046.s10,Af-mode-07011,train,true,false,JIrasvstin,JI,Gos046,train
17,Gos046.s11,Bm-gost-07012,train,true,false,JIrasvstin,JI,Gos046,train
11,Gos046.s12,Bm-gost-07012,train,true,false,JIrasvstin,JI,Gos046,train
43,Gos046.s13,Bm-gost-07012,train,true,false,JIrasvstin,JI,Gos046,train
46,Gos046.s14,Bm-gost-07012,train,true,false,JIrasvstin,JI,Gos046,train
26,Gos047.s140,Af-novi-04534,train,true,false,JIrasvstin,JI,Gos047,train
11,Gos047.s141,Bf-inte-04535,train,true,false,JIrasvstin,JI,Gos047,train
38,Gos047.s142,Bf-inte-04535,train,true,false,JIrasvstin,JI,Gos047,train
2,Gos047.s143,Af-novi-04534,train,true,false,JIrasvstin,JI,Gos047,train
37,Gos047.s144,Bf-inte-04535,train,true,false,JIrasvstin,JI,Gos047,train
13,Gos047.s145,Bf-inte-04535,train,true,false,JIrasvstin,JI,Gos047,train
28,Gos047.s146,Bf-inte-04535,train,true,false,JIrasvstin,JI,Gos047,train
2,Gos048.s108,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
16,Gos048.s109,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
7,Gos048.s110,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
7,Gos048.s111,Cf-gost-07017,train,true,false,JIrasvstin,JI,Gos048,train
24,Gos048.s112,Cf-gost-07017,train,true,false,JIrasvstin,JI,Gos048,train
2,Gos048.s113,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
5,Gos048.s114,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
7,Gos048.s115,Cf-gost-07017,train,true,false,JIrasvstin,JI,Gos048,train
2,Gos048.s116,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
8,Gos048.s117,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
18,Gos048.s119,Bf-novi-04534,train,true,false,JIrasvstin,JI,Gos048,train
64,Gos049.s32,Cm-gost-07010,train,true,false,JIrasvstin,JI,Gos049,train
64,Gos049.s33,Cm-gost-07010,train,true,false,JIrasvstin,JI,Gos049,train
12,Gos050.s143,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
34,Gos050.s144,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
13,Gos050.s145,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
15,Gos050.s146,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
23,Gos050.s147,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
6,Gos050.s148,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
22,Gos050.s149,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
20,Gos050.s150,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
8,Gos050.s151,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
27,Gos050.s152,Cm-gost-07015,train,true,false,JIrasvstin,JI,Gos050,train
17,Gos051.s257,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
27,Gos051.s258,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
13,Gos051.s259,Jf-ucen-07133,train,true,false,JIssjzgidr,JI,Gos051,dev
47,Gos051.s261,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s262,Pn-vsiucenci-10000,train,true,false,JIssjzgidr,JI,Gos051,dev
8,Gos051.s263,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
24,Gos051.s264,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
3,Gos051.s265,Pn-vsiucenci-10000,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s266,Hf-ucen-07131,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s267,Kf-ucen-07134,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s268,Gf-ucen-07130,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s269,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
2,Gos051.s271,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
10,Gos051.s272,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
21,Gos051.s273,Af-prof-07124,train,true,false,JIssjzgidr,JI,Gos051,dev
10,Gos055.s403,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
4,Gos055.s405,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
12,Gos055.s407,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
18,Gos055.s409,Kf-ucen-07095,train,true,false,JIssjzpsdr,JI,Gos055,train
29,Gos055.s410,Kf-ucen-07095,train,true,false,JIssjzpsdr,JI,Gos055,train
15,Gos055.s411,Kf-ucen-07095,train,true,false,JIssjzpsdr,JI,Gos055,train
3,Gos055.s412,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
6,Gos055.s413,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
2,Gos055.s414,Bm-ucen-07086,train,true,false,JIssjzpsdr,JI,Gos055,train
2,Gos055.s415,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
2,Gos055.s416,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
6,Gos055.s417,Af-prof-07085,train,true,false,JIssjzpsdr,JI,Gos055,train
12,Gos055.s418,Cm-ucen-07087,train,true,false,JIssjzpsdr,JI,Gos055,train
7,Gos056.s450,Cm-ucen-02333,train,true,false,JIssjzpsdr,JI,Gos056,train
9,Gos056.s452,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
2,Gos056.s453,Af-ucen-02331,train,true,false,JIssjzpsdr,JI,Gos056,train
2,Gos056.s454,Af-ucen-02331,train,true,false,JIssjzpsdr,JI,Gos056,train
8,Gos056.s455,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s456,Af-ucen-02331,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s457,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s458,Af-ucen-02331,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s460,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
3,Gos056.s461,Ef-ucen-02335,train,true,false,JIssjzpsdr,JI,Gos056,train
2,Gos056.s462,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s463,If-ucen-02339,train,true,false,JIssjzpsdr,JI,Gos056,train
2,Gos056.s466,Af-ucen-02331,train,true,false,JIssjzpsdr,JI,Gos056,train
6,Gos056.s468,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
9,Gos056.s470,Ef-ucen-02335,train,true,false,JIssjzpsdr,JI,Gos056,train
18,Gos056.s471,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
2,Gos056.s472,Ef-ucen-02335,train,true,false,JIssjzpsdr,JI,Gos056,train
4,Gos056.s473,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
17,Gos056.s474,Ef-ucen-02335,train,true,false,JIssjzpsdr,JI,Gos056,train
32,Gos056.s475,Bm-prof-02332,train,true,false,JIssjzpsdr,JI,Gos056,train
