who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Dm-prij-06581,58,SPOG-Gos259-NZosnndopr-ak0909102300.xml,"doma, prijatelji",Gos259,Dm-prij-06581,"tujina, osrednjeslovenska",-,moški,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Im-prij-06580,29,SPOG-Gos259-NZosnndopr-ak0909102300.xml,"doma, prijatelji",Gos259,Im-prij-06580,"tujina, osrednjeslovenska",-,moški,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Fm-mode-05517,13,SPOG-Gos025-JIrajzakjp-rd0906111356.xml,"Aktual, Aktualno",Gos025,Fm-mode-05517,-,-,moški,-,"Aktual, Aktualno",radio,Gos,informativno-izobraževalni
Mf-posl-05556,35,SPOG-Gos025-JIrajzakjp-rd0906111356.xml,"Aktual, Aktualno",Gos025,Mf-posl-05556,-,-,ženski,-,"Aktual, Aktualno",radio,Gos,informativno-izobraževalni
Am-prij-02557,87,SPOG-Gos245-NZosljzupr-lr0906031349.xml,"zunaj doma, prijatelji",Gos245,Am-prij-02557,osrednjeslovenska,-,moški,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Bm-prij-02558,44,SPOG-Gos245-NZosljzupr-lr0906031349.xml,"zunaj doma, prijatelji",Gos245,Bm-prij-02558,osrednjeslovenska,-,moški,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Af-star-01083,40,SPOG-Gos263-NZossgdodr-am1003212116.xml,"doma, družina",Gos263,Af-star-01083,koroška,-,ženski,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Mm-otro-01079,35,SPOG-Gos263-NZossgdodr-am1003212116.xml,"doma, družina",Gos263,Mm-otro-01079,"koroška, savinjska, podravska",-,moški,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Bf-prij-09525,11,SPOG-Gos242-NZosljdopr-bo0910212030.xml,"doma, prijatelji",Gos242,Bf-prij-09525,osrednjeslovenska,-,ženski,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Mm-prij-09509,61,SPOG-Gos242-NZosljdopr-bo0910212030.xml,"doma, prijatelji",Gos242,Mm-prij-09509,osrednjeslovenska,-,moški,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Pm-prij-09508,68,SPOG-Gos242-NZosljdopr-bo0910212030.xml,"doma, prijatelji",Gos242,Pm-prij-09508,"osrednjeslovenska, jugovzhodna Slovenija",-,moški,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Af-otro-02559,21,SPOG-Gos236-NZosljdodr-lr0906022207.xml,"doma, družina",Gos236,Af-otro-02559,"osrednjeslovenska, Avstrija",-,ženski,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Bm-star-02560,6,SPOG-Gos236-NZosljdodr-lr0906022207.xml,"doma, družina",Gos236,Bm-star-02560,osrednjeslovenska,-,moški,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Cf-star-02561,5,SPOG-Gos236-NZosljdodr-lr0906022207.xml,"doma, družina",Gos236,Cf-star-02561,"osrednjeslovenska, podravska",-,ženski,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Df-otro-02562,104,SPOG-Gos236-NZosljdodr-lr0906022207.xml,"doma, družina",Gos236,Df-otro-02562,osrednjeslovenska,-,ženski,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Em-prij-02563,0,SPOG-Gos236-NZosljdodr-lr0906022207.xml,"doma, družina",Gos236,Em-prij-02563,"podravska, Avstrija",-,moški,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Bm-anke-02024,17,SPOG-Gos103-JItvslpour-rd0904151218.xml,"PopTV, 24ur",Gos103,Bm-anke-02024,-,-,moški,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Ef-novi-04501,31,SPOG-Gos110-JItvslpour-rd0904151330.xml,"PopTV, 24ur",Gos110,Ef-novi-04501,-,-,ženski,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Bm-posl-10506,25,SPOG-Gos155-JRrasvmvge-rd0908251007.xml,"Maxi, Pižama bar",Gos155,Bm-posl-10506,-,-,moški,-,"Maxi, Pižama bar",radio,Gos,razvedrilni
Dm-mode-10505,1,SPOG-Gos155-JRrasvmvge-rd0908251007.xml,"Maxi, Pižama bar",Gos155,Dm-mode-10505,-,-,moški,-,"Maxi, Pižama bar",radio,Gos,razvedrilni
Ff-posl-10507,26,SPOG-Gos155-JRrasvmvge-rd0908251007.xml,"Maxi, Pižama bar",Gos155,Ff-posl-10507,-,-,ženski,-,"Maxi, Pižama bar",radio,Gos,razvedrilni
Pm-mode-10504,148,SPOG-Gos155-JRrasvmvge-rd0908251007.xml,"Maxi, Pižama bar",Gos155,Pm-mode-10504,-,-,moški,-,"Maxi, Pižama bar",radio,Gos,razvedrilni
Bm-ucen-07195,0,SPOG-Gos022-JIossvtrna-kk0911181210.xml,"3. triletje, naravoslovje",Gos022,Bm-ucen-07195,podravska,-,moški,10 do 18 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Fm-ucen-01627,3,SPOG-Gos022-JIossvtrna-kk0911181210.xml,"3. triletje, naravoslovje",Gos022,Fm-ucen-01627,podravska,-,moški,10 do 18 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Pf-ucen-01626,5,SPOG-Gos022-JIossvtrna-kk0911181210.xml,"3. triletje, naravoslovje",Gos022,Pf-ucen-01626,podravska,-,ženski,10 do 18 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Um-prof-01624,85,SPOG-Gos022-JIossvtrna-kk0911181210.xml,"3. triletje, naravoslovje",Gos022,Um-prof-01624,"podravska, osrednjeslovenska",-,moški,30 do 59 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Am-mode-02099,96,SPOG-Gos169-JRtvslslsp-rd0905200820.xml,"TVSlo, šport",Gos169,Am-mode-02099,osrednjeslovenska,-,moški,18 do 34 let,"TVSlo, šport",televizija,Gos,razvedrilni
Bm-mode-02092,58,SPOG-Gos169-JRtvslslsp-rd0905200820.xml,"TVSlo, šport",Gos169,Bm-mode-02092,jugovzhodna Slovenija,-,moški,30 do 59 let,"TVSlo, šport",televizija,Gos,razvedrilni
Af-prof-07180,68,SPOG-Gos014-JIosjzdrna-pk1005181032.xml,"2. triletje, naravoslovje",Gos014,Af-prof-07180,"obalno-kraška, Italija",-,ženski,30 do 59 let,"2. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Bm-ucen-07181,1,SPOG-Gos014-JIosjzdrna-pk1005181032.xml,"2. triletje, naravoslovje",Gos014,Bm-ucen-07181,obalno-kraška,-,moški,10 do 18 let,"2. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Cf-ucen-07182,33,SPOG-Gos014-JIosjzdrna-pk1005181032.xml,"2. triletje, naravoslovje",Gos014,Cf-ucen-07182,obalno-kraška,-,ženski,10 do 18 let,"2. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Dm-ucen-07183,3,SPOG-Gos014-JIosjzdrna-pk1005181032.xml,"2. triletje, naravoslovje",Gos014,Dm-ucen-07183,obalno-kraška,-,moški,10 do 18 let,"2. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Hm-ucen-07187,32,SPOG-Gos014-JIosjzdrna-pk1005181032.xml,"2. triletje, naravoslovje",Gos014,Hm-ucen-07187,obalno-kraška,-,moški,10 do 18 let,"2. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
If-sode-01616,149,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,If-sode-01616,obalno-kraška,-,ženski,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Jf-prij-01612,134,SPOG-Gos222-NZositdopr-jm0910281306.xml,"doma, prijatelji",Gos222,Jf-prij-01612,Italija,-,ženski,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Mf-prij-01630,6,SPOG-Gos222-NZositdopr-jm0910281306.xml,"doma, prijatelji",Gos222,Mf-prij-01630,Italija,-,ženski,18 do 34 let,"doma, prijatelji",osebni stik,Gos,zasebni
Pf-prof-07533,54,SPOG-Gos188-NNosmbakko-sv1007050910.xml,konzultacija,Gos188,Pf-prof-07533,podravska,-,ženski,30 do 59 let,konzultacija,osebni stik,Gos,nezasebni
Sf-stud-07532,3,SPOG-Gos188-NNosmbakko-sv1007050910.xml,konzultacija,Gos188,Sf-stud-07532,podravska,-,ženski,30 do 59 let,konzultacija,osebni stik,Gos,nezasebni
Pf-prof-07533,32,SPOG-Gos189-NNosmbakko-sv1007050918.xml,konzultacija,Gos189,Pf-prof-07533,podravska,-,ženski,30 do 59 let,konzultacija,osebni stik,Gos,nezasebni
Sf-stud-07534,69,SPOG-Gos189-NNosmbakko-sv1007050918.xml,konzultacija,Gos189,Sf-stud-07534,"podravska, osrednjeslovenska",-,ženski,18 do 34 let,konzultacija,osebni stik,Gos,nezasebni
Bm-nast-00022,27,SPOG-Gos160-JRtvslpode-rd0904200926.xml,"PopTV, Desetka",Gos160,Bm-nast-00022,-,-,moški,-,"PopTV, Desetka",televizija,Gos,razvedrilni
Um-nast-00021,50,SPOG-Gos160-JRtvslpode-rd0904200926.xml,"PopTV, Desetka",Gos160,Um-nast-00021,-,-,moški,-,"PopTV, Desetka",televizija,Gos,razvedrilni
Am-stra-02298,32,SPOG-Gos191-NNosmbfist-sv1006161508.xml,storitev,Gos191,Am-stra-02298,"savinjska, podravska",-,moški,18 do 34 let,storitev,osebni stik,Gos,nezasebni
Bf-udel-02299,58,SPOG-Gos191-NNosmbfist-sv1006161508.xml,storitev,Gos191,Bf-udel-02299,podravska,-,ženski,30 do 59 let,storitev,osebni stik,Gos,nezasebni
Am-novi-10501,84,SPOG-Gos139-JRramarmpo-dm1007091314.xml,moderirani pogovor,Gos139,Am-novi-10501,Madžarska,-,moški,-,moderirani pogovor,radio,Gos,razvedrilni
If-inte-10503,47,SPOG-Gos139-JRramarmpo-dm1007091314.xml,moderirani pogovor,Gos139,If-inte-10503,Madžarska,-,ženski,-,moderirani pogovor,radio,Gos,razvedrilni
Bf-ssta-10002,3,SPOG-Gos218-NZosavdodr-er1002161043.xml,"doma, družina",Gos218,Bf-ssta-10002,Avstrija,-,ženski,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Ef-soro-10003,98,SPOG-Gos218-NZosavdodr-er1002161043.xml,"doma, družina",Gos218,Ef-soro-10003,Avstrija,-,ženski,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Jf-otro-10001,48,SPOG-Gos218-NZosavdodr-er1002161043.xml,"doma, družina",Gos218,Jf-otro-10001,Avstrija,-,ženski,do 10 let,"doma, družina",osebni stik,Gos,zasebni
Mf-inte-01007,99,SPOG-Gos149-JRrasvkoso-rd0908250945.xml,"Koroški, intervju",Gos149,Mf-inte-01007,koroška,-,moški,18 do 34 let,"Koroški, intervju",radio,Gos,razvedrilni
Am-prod-02274,75,SPOG-Gos214-NNtembstpr-rd1005041400.xml,prodaja/trgovina,Gos214,Am-prod-02274,podravska,-,moški,30 do 59 let,prodaja/trgovina,telefon,Gos,nezasebni
Bm-stra-02275,22,SPOG-Gos214-NNtembstpr-rd1005041400.xml,prodaja/trgovina,Gos214,Bm-stra-02275,podravska,-,moški,30 do 59 let,prodaja/trgovina,telefon,Gos,nezasebni
Tf-prij-06001,38,SPOG-Gos268-NZteceprij-im0906301216.xml,klic prijatelju,Gos268,Tf-prij-06001,"savinjska, podravska",-,ženski,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Vf-prij-06002,27,SPOG-Gos268-NZteceprij-im0906301216.xml,klic prijatelju,Gos268,Vf-prij-06002,savinjska,-,ženski,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Bf-gost-05600,87,SPOG-Gos032-JIrajzakns-rd0906111408.xml,"Aktual, Na sredi",Gos032,Bf-gost-05600,-,-,ženski,-,"Aktual, Na sredi",radio,Gos,informativno-izobraževalni
Am-prod-02272,2,SPOG-Gos215-NNtembstpr-rd1005070943.xml,prodaja/trgovina,Gos215,Am-prod-02272,podravska,-,moški,18 do 34 let,prodaja/trgovina,telefon,Gos,nezasebni
Bf-stra-02273,16,SPOG-Gos215-NNtembstpr-rd1005070943.xml,prodaja/trgovina,Gos215,Bf-stra-02273,"pomurska, podravska",-,ženski,30 do 59 let,prodaja/trgovina,telefon,Gos,nezasebni
Af-soro-09512,54,SPOG-Gos280-NZteljsoro-bo0910042000.xml,klic sorodniku,Gos280,Af-soro-09512,osrednjeslovenska,-,ženski,nad 60 let,klic sorodniku,telefon,Gos,zasebni
Mf-soro-09513,131,SPOG-Gos280-NZteljsoro-bo0910042000.xml,klic sorodniku,Gos280,Mf-soro-09513,osrednjeslovenska,-,ženski,nad 60 let,klic sorodniku,telefon,Gos,zasebni
Af-novi-03507,52,SPOG-Gos109-JItvslpour-rd0904151320.xml,"PopTV, 24ur",Gos109,Af-novi-03507,-,-,ženski,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Am-mode-07003,15,SPOG-Gos117-JItvslslod-rd0905280749.xml,"TVSlo, Odmevi",Gos117,Am-mode-07003,-,-,moški,-,"TVSlo, Odmevi",televizija,Gos,informativno-izobraževalni
Dm-gost-07006,46,SPOG-Gos117-JItvslslod-rd0905280749.xml,"TVSlo, Odmevi",Gos117,Dm-gost-07006,-,-,moški,-,"TVSlo, Odmevi",televizija,Gos,informativno-izobraževalni
Af-stra-02233,14,SPOG-Gos204-NNteljstsv-az1007061015.xml,informacije,Gos204,Af-stra-02233,osrednjeslovenska,-,ženski,18 do 34 let,informacije,telefon,Gos,nezasebni
Bf-info-02319,70,SPOG-Gos204-NNteljstsv-az1007061015.xml,informacije,Gos204,Bf-info-02319,"posavska, osrednjeslovenska",-,ženski,18 do 34 let,informacije,telefon,Gos,nezasebni
Af-ucen-01051,1,SPOG-Gos021-JIossvtrna-is0911272310.xml,"3. triletje, naravoslovje",Gos021,Af-ucen-01051,koroška,-,ženski,10 do 18 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Bm-ucen-01052,5,SPOG-Gos021-JIossvtrna-is0911272310.xml,"3. triletje, naravoslovje",Gos021,Bm-ucen-01052,koroška,-,moški,10 do 18 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Pn-vsiucenci-10000,1,SPOG-Gos021-JIossvtrna-is0911272310.xml,"3. triletje, naravoslovje",Gos021,Pn-vsiucenci-10000,-,-,-,-,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Sf-prof-01049,81,SPOG-Gos021-JIossvtrna-is0911272310.xml,"3. triletje, naravoslovje",Gos021,Sf-prof-01049,koroška,-,ženski,30 do 59 let,"3. triletje, naravoslovje",osebni stik,Gos,informativno-izobraževalni
Am-stra-02275,60,SPOG-Gos216-NNtembstsv-rd1004211506.xml,svetovanje,Gos216,Am-stra-02275,podravska,-,moški,18 do 34 let,svetovanje,telefon,Gos,nezasebni
Bm-prod-02283,171,SPOG-Gos216-NNtembstsv-rd1004211506.xml,svetovanje,Gos216,Bm-prod-02283,podravska,-,moški,30 do 59 let,svetovanje,telefon,Gos,nezasebni
Bm-nast-00022,8,SPOG-Gos161-JRtvslpode-rd0904200931.xml,"PopTV, Desetka",Gos161,Bm-nast-00022,-,-,moški,-,"PopTV, Desetka",televizija,Gos,razvedrilni
Um-nast-00021,337,SPOG-Gos161-JRtvslpode-rd0904200931.xml,"PopTV, Desetka",Gos161,Um-nast-00021,-,-,moški,-,"PopTV, Desetka",televizija,Gos,razvedrilni
Bm-gost-07155,79,SPOG-Gos119-JItvslslod-rd0905280755.xml,"TVSlo, Odmevi",Gos119,Bm-gost-07155,-,-,moški,-,"TVSlo, Odmevi",televizija,Gos,informativno-izobraževalni
Am-mode-05517,7,SPOG-Gos023-JIrajzakjp-rd0906111339.xml,"Aktual, Aktualno",Gos023,Am-mode-05517,-,-,moški,-,"Aktual, Aktualno",radio,Gos,informativno-izobraževalni
Lm-posl-05528,33,SPOG-Gos023-JIrajzakjp-rd0906111339.xml,"Aktual, Aktualno",Gos023,Lm-posl-05528,-,-,moški,-,"Aktual, Aktualno",radio,Gos,informativno-izobraževalni
Am-prij-02168,9,SPOG-Gos269-NZteceprij-im0906301218.xml,klic prijatelju,Gos269,Am-prij-02168,savinjska,-,moški,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Bm-prij-02169,10,SPOG-Gos269-NZteceprij-im0906301218.xml,klic prijatelju,Gos269,Bm-prij-02169,savinjska,-,moški,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Bf-anke-02011,8,SPOG-Gos079-JItvslpour-rd0904141245.xml,"PopTV, 24ur",Gos079,Bf-anke-02011,-,-,ženski,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Am-prod-05581,95,SPOG-Gos173-NNoskpprdo-pk1003311343.xml,prodaja/trgovina,Gos173,Am-prod-05581,obalno-kraška,-,moški,30 do 59 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Bm-stra-05582,13,SPOG-Gos173-NNoskpprdo-pk1003311343.xml,prodaja/trgovina,Gos173,Bm-stra-05582,"obalno-kraška, gorenjska",-,moški,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Af-prij-07149,176,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji",Gos257,Af-prij-07149,jugovzhodna Slovenija,-,ženski,30 do 59 let,"doma, prijatelji",osebni stik,Gos,zasebni
