TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Rog-Art-N-G5025-P600021	Artur-N-G5025-P600021	Artur-N-G5025-P600021.wav	Artur-N	Pogovor med dvema starejšima prijateljicama o šolanju, delu, življenju v Nemčiji	2020-12	lastni posnetek	-	Murska Sobota	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	45	452	Artur-N-G5025
Rog-Art-N-G5025-P600022	Artur-N-G5025-P600022	Artur-N-G5025-P600022.wav	Artur-N	Priprava krompirjeve kmečke juhe in palačink	2020-12	lastni posnetek	-	Murska Sobota	prosti monološki govor	zasebni	osebni stik	25	622	Artur-N-G5025
Rog-Art-N-G5026-P600021	Artur-N-G5026-P600021	Artur-N-G5026-P600021.wav	Artur-N	Pogovor med dvema starejšima prijateljicama o šolanju, delu, življenju v Nemčiji	2020-12	lastni posnetek	-	Murska Sobota	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	39	314	Artur-N-G5026
Rog-Art-N-G5035-P600034	Artur-N-G5035-P600034	Artur-N-G5035-P600034.wav	Artur-N	Pogovor med prijateljema o pohodu na Triglav in izletih z motorjem 	2021-01	lastni posnetek	-	Ormož	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	29	657	Artur-N-G5035
Rog-Art-N-G5036-P600034	Artur-N-G5036-P600034	Artur-N-G5036-P600034.wav	Artur-N	Pogovor med prijateljema o pohodu na Triglav in izletih z motorjem 	2021-01	lastni posnetek	-	Ormož	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	31	407	Artur-N-G5036
Rog-Art-N-G5043-P600044	Artur-N-G5043-P600044	Artur-N-G5043-P600044.wav	Artur-N	Pogovor med dvema prijaletejema o pohodu na Pokljuko leta 1983	2021-03	lastni posnetek	-	Ravne	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	34	365	Artur-N-G5043
Rog-Art-N-G5044-P600044	Artur-N-G5044-P600044	Artur-N-G5044-P600044.wav	Artur-N	Pogovor med dvema prijaletejema o pohodu na Pokljuko leta 1983	2021-03	lastni posnetek	-	Ravne	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	32	465	Artur-N-G5044
Rog-Art-N-G5053-P600052	Artur-N-G5053-P600052	Artur-N-G5053-P600052.wav	Artur-N	Pogovor med prijateljema o gledanju serij in filmov ter o igralcih	2021-05	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	53	750	Artur-N-G5053
Rog-Art-N-G5054-P600052	Artur-N-G5054-P600052	Artur-N-G5054-P600052.wav	Artur-N	Pogovor med prijateljema o gledanju serij in filmov ter o igralcih	2021-05	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	56	690	Artur-N-G5054
Rog-Art-N-G5082-P600080	Artur-N-G5082-P600080	Artur-N-G5082-P600080.wav	Artur-N	Pogovor o pisanju magistrske naloge	2021-07	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	10	132	Artur-N-G5082
Rog-Art-N-G5083-P600080	Artur-N-G5083-P600080	Artur-N-G5083-P600080.wav	Artur-N	Pogovor o pisanju magistrske naloge in vrstah kapitala	2021-07	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	20	793	Artur-N-G5083
Rog-Art-N-G5097-P600096	Artur-N-G5097-P600096	Artur-N-G5097-P600096.wav	Artur-N	Pogovor o tretji porodniški, spremembah pri šolanju otrok zaradi korone, preurejanju hiše, psički in hobijih	2021-07	lastni posnetek	-	Škofja Loka	prosti monološki govor	zasebni	osebni stik	38	967	Artur-N-G5097
Rog-Art-N-G6001-P600102	Artur-N-G6001-P600102	Artur-N-G6001-P600102.wav	Artur-N	Opis najljubšega filma, najljubšega mesta, poti do mesta in najljubšega poklica	2020-12	lastni posnetek	-	Litija	razlaganje in opisovanje	zasebni	osebni stik	27	856	Artur-N-G6001
Rog-Art-N-G6007-P600702	Artur-N-G6007-P600702	Artur-N-G6007-P600702.wav	Artur-N	Opis najljubše nadaljevanke in najljubšega kraja	2020-12	lastni posnetek	-	Ljubljana	razlaganje in opisovanje	zasebni	osebni stik	21	770	Artur-N-G6007
Rog-Art-N-G6012-P601201	Artur-N-G6012-P601201	Artur-N-G6012-P601201.wav	Artur-N	Opis entropije, raztezanja vesolja, Dopplerjevega efekta, 	2021-09	lastni posnetek	-	Radovljica	prosti monološki govor	zasebni	osebni stik	28	961	Artur-N-G6012
Rog-Art-N-G6031-P603102	Artur-N-G6031-P603102	Artur-N-G6031-P603102.wav	Artur-N	Opis najljubšega filma, najljubšega mesta, poti do mesta, najljubšega poklica, najljubše jedi, najljubše knjige, naravne katastrofe, uporabnega orodja, najljubšega letnega časa in najljubšega hobija	2021-01	lastni posnetek	-	Ljubljana	razlaganje in opisovanje	zasebni	osebni stik	26	922	Artur-N-G6031
Rog-Art-N-G6043-P604301	Artur-N-G6043-P604301	Artur-N-G6043-P604301.wav	Artur-N	Pogovoro o sanjah, prenehanju kajenja in novicah	2021-07	lastni posnetek	-	Ljubljana	prosti monološki govor	zasebni	osebni stik	40	922	Artur-N-G6043
Rog-Art-N-G6047-P604702	Artur-N-G6047-P604702	Artur-N-G6047-P604702.wav	Artur-N	Opis najljubšega filma, najljubšega izletniškega kraja, poti do njega, najljubšega poklica in prostega časa	2021-02	lastni posnetek	-	Naklo	razlaganje in opisovanje	zasebni	osebni stik	41	844	Artur-N-G6047
Rog-Art-N-G6060-P606001	Artur-N-G6060-P606001	Artur-N-G6060-P606001.wav	Artur-N	Opis plesa lindy hop, začetki plesanja, zgodovina plesa, opis poteka festivalov, opis obutve in oblačil	2021-05	lastni posnetek	-	Idrija	prosti monološki govor	zasebni	osebni stik	31	915	Artur-N-G6060
Rog-Art-N-G6083-P608301	Artur-N-G6083-P608301	Artur-N-G6083-P608301.wav	Artur-N	Opis veganstva, veganske prehrane, oblačil veganskega izvora, pozitivni učinki veganstva, opis veganskih certifikatov 	2021-05	lastni posnetek	-	Idrija	prosti monološki govor	zasebni	osebni stik	39	861	Artur-N-G6083
Rog-Art-N-G6100-P610002	Artur-N-G6100-P610002	Artur-N-G6100-P610002.wav	Artur-N	Opis najljubšega filma, najljubšega izletniškega kraja in najljubšega poklica	2021-07	lastni posnetek	-	Vrhnika	razlaganje in opisovanje	zasebni	osebni stik	23	965	Artur-N-G6100
Rog-Art-N-G6103-P610302	Artur-N-G6103-P610302	Artur-N-G6103-P610302.wav	Artur-N	Opis najljubšega filma, najljubšega izletniškega kraja, poti do njega, najljubšega poklica in najljubše jedi	2021-05	lastni posnetek	-	Nova Gorica	razlaganje in opisovanje	zasebni	osebni stik	25	931	Artur-N-G6103
Rog-Art-N-G6112-P611202	Artur-N-G6112-P611202	Artur-N-G6112-P611202.wav	Artur-N	Opis najljubšega filma, najljubšega izletniškega kraja, najljubšega poklica, najljubše jedi in najljubše knjige	2021-08	lastni posnetek	-	Ljubljana	razlaganje in opisovanje	zasebni	osebni stik	35	871	Artur-N-G6112
Rog-Art-N-G6116-P611601	Artur-N-G6116-P611601	Artur-N-G6116-P611601.wav	Artur-N	Govor o kmetijski dejavnosti, vrtninah, vplivu vremena na njih in primerjavi količine pridelkov letos s pridelki v prejšnjih letih	2021-06	lastni posnetek	-	Ljubljana	prosti monološki govor	zasebni	osebni stik	48	930	Artur-N-G6116
Rog-Art-P-G7001-P700192	Artur-P-G7001-P700192	Artur-P-G7001-P700192.wav	Artur-P	Govor o poročilu varuhinje in kršitvah volilne pravice	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	39	854	Artur-P-G7001
Rog-Art-P-G7002-P700444	Artur-P-G7002-P700444	Artur-P-G7002-P700444.wav	Artur-P	Govor o Romih in romski problematiki (izobrazbena struktura, brezposelnost, nelegalna aktivnost, zadloženost, varnostne razmere)	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	34	819	Artur-P-G7002
Rog-Art-P-G7036-P701111	Artur-P-G7036-P701111	Artur-P-G7036-P701111.wav	Artur-P	Govor o šolstvu, dostopnosti šolstva, primerjavi med javnim in zasebnim šolstvom in financiranju šol 	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	43	858	Artur-P-G7036
Rog-Art-P-G7065-P701064	Artur-P-G7065-P701064	Artur-P-G7065-P701064.wav	Artur-P	Govor o predmetni parlamentarni preiskavi stranke SDS	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	31	825	Artur-P-G7065
Rog-Art-P-G7155-P700259	Artur-P-G7155-P700259	Artur-P-G7155-P700259.wav	Artur-P	Govor o obrtnikih in podjetnikih, njihovih prihodkih in bolniškem staležu	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	3	816	Artur-P-G7155
Rog-Art-P-G7165-P700926	Artur-P-G7165-P700926	Artur-P-G7165-P700926.wav	Artur-P	Govor o predlogu zakona za razbremenitev davčnega dohodninskega zavezanca	-	Državni zbor RS	-	Ljubljana	seja državnega zbora	informativno-izobraževalni	osebni stik	34	893	Artur-P-G7165
